"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"21.01.2025","6.049,24","6.014,12","6.051,51","6.006,88","-","0,88%"
"17.01.2025","5.996,66","5.995,40","6.014,96","5.978,44","-","1,00%"
"16.01.2025","5.937,34","5.963,61","5.964,69","5.930,72","-","-0,21%"
"15.01.2025","5.949,91","5.905,21","5.960,61","5.905,21","-","1,83%"
"14.01.2025","5.842,91","5.859,27","5.871,92","5.805,42","-","0,11%"
"13.01.2025","5.836,22","5.782,02","5.838,61","5.773,31","-","0,16%"
"10.01.2025","5.827,04","5.890,35","5.890,35","5.807,78","-","-1,54%"
"08.01.2025","5.918,25","5.910,66","5.927,89","5.874,78","-","0,16%"
"07.01.2025","5.909,03","5.993,26","6.000,68","5.890,68","-","-1,11%"
"06.01.2025","5.975,38","5.982,81","6.021,04","5.960,01","-","0,55%"
"03.01.2025","5.942,47","5.891,07","5.949,34","5.888,66","-","1,26%"
"02.01.2025","5.868,55","5.903,26","5.935,09","5.829,53","-","-0,22%"
"31.12.2024","5.881,63","5.919,74","5.929,74","5.868,86","-","-0,43%"
"30.12.2024","5.906,94","5.920,67","5.940,79","5.869,16","-","-1,07%"
"27.12.2024","5.970,84","6.006,17","6.006,17","5.932,95","-","-1,11%"
"26.12.2024","6.037,59","6.024,97","6.049,75","6.007,37","-","-0,04%"
"24.12.2024","6.040,04","5.984,63","6.040,10","5.981,44","-","1,10%"
"23.12.2024","5.974,07","5.940,25","5.978,25","5.902,57","-","0,73%"
"20.12.2024","5.930,85","5.842,00","5.982,06","5.832,30","-","1,09%"
"19.12.2024","5.867,08","5.912,71","5.935,52","5.866,07","-","-0,09%"
"18.12.2024","5.872,16","6.047,65","6.070,67","5.867,79","-","-2,95%"
"17.12.2024","6.050,61","6.052,55","6.057,68","6.035,19","-","-0,39%"
"16.12.2024","6.074,08","6.063,79","6.085,19","6.059,14","-","0,38%"
"13.12.2024","6.051,09","6.068,17","6.078,58","6.035,77","-","-0,00%"
